Date,Amount
4/4/2019,2.9085
4/5/2019,2.8925
4/7/2019,null
4/8/2019,2.9295
4/9/2019,2.9315
4/10/2019,2.9225
4/11/2019,2.886
4/12/2019,2.946
4/14/2019,null
4/15/2019,2.934
4/16/2019,2.9305
4/17/2019,2.9755
4/18/2019,2.9275
4/21/2019,null
4/22/2019,2.9065
4/23/2019,2.8985
4/24/2019,2.9175
4/25/2019,2.8775
4/26/2019,2.97
4/28/2019,null
4/29/2019,2.895
4/30/2019,2.9015
5/1/2019,2.803
5/2/2019,2.784
5/3/2019,2.825
5/5/2019,null
5/6/2019,2.837
5/7/2019,2.794
5/8/2019,2.7855
5/9/2019,2.7835
5/10/2019,2.785
5/12/2019,null
5/13/2019,2.7295
5/14/2019,2.7345
5/15/2019,2.7535
5/16/2019,2.7585
5/17/2019,2.748
5/19/2019,null
5/20/2019,2.736
5/21/2019,2.7235
5/22/2019,2.686
5/23/2019,2.6865
5/24/2019,2.7065
5/26/2019,null
5/28/2019,2.7035
5/29/2019,2.6725
5/30/2019,2.6605
5/31/2019,2.646
6/2/2019,2.622
6/3/2019,2.6555
6/4/2019,2.6735
6/5/2019,2.627
6/6/2019,2.654
6/7/2019,2.6305
6/9/2019,2.64
6/10/2019,2.664
6/11/2019,2.6755
6/12/2019,2.659
6/13/2019,2.661
6/14/2019,2.6345
6/16/2019,2.6355
6/17/2019,2.651
6/18/2019,2.707
6/19/2019,2.6845
6/20/2019,2.7155
6/21/2019,2.706
6/23/2019,2.705
6/24/2019,2.7055
6/25/2019,2.7355
6/26/2019,2.711
6/27/2019,2.7125
6/28/2019,2.7055
6/30/2019,2.7435
7/1/2019,2.6795
7/2/2019,2.6575
7/3/2019,null
7/5/2019,2.6585
7/7/2019,2.6655
7/8/2019,2.656
7/9/2019,2.6245
7/10/2019,2.693
7/11/2019,2.6825
7/12/2019,2.6915
7/14/2019,2.694
7/15/2019,2.7075
7/16/2019,2.6935
7/17/2019,2.71
7/18/2019,2.704
7/19/2019,2.7445
7/21/2019,2.747
7/22/2019,2.7145
7/23/2019,2.694
7/24/2019,2.704
7/25/2019,2.6955
7/26/2019,2.6765
7/28/2019,2.6905
7/29/2019,2.7095
7/30/2019,2.6705
7/31/2019,2.658
8/1/2019,2.66
8/2/2019,2.565
8/4/2019,2.569
8/5/2019,2.537
8/6/2019,2.551
8/7/2019,2.565
8/8/2019,2.602
8/9/2019,2.584
8/11/2019,2.59
8/12/2019,2.58
8/13/2019,2.6245
8/14/2019,2.5865
8/15/2019,2.5895
8/16/2019,2.59
8/18/2019,2.5955
8/19/2019,2.597
8/20/2019,2.574
8/21/2019,2.5815
8/22/2019,2.5535
8/23/2019,2.526
8/25/2019,2.504
8/26/2019,2.54
8/27/2019,2.5435
8/28/2019,2.551
8/29/2019,2.5595
8/30/2019,2.533
9/1/2019,2.5545
9/3/2019,2.5125
9/4/2019,2.579
9/5/2019,2.6245
9/6/2019,2.6155
9/8/2019,2.629
9/9/2019,2.6105
9/10/2019,2.6105
9/11/2019,2.5975
9/12/2019,2.6235
9/13/2019,2.681
9/15/2019,2.6925
9/16/2019,2.621
9/17/2019,2.6095
9/18/2019,2.5955
9/19/2019,2.591
9/20/2019,2.59
9/22/2019,2.604
9/23/2019,2.5945
9/24/2019,2.5895
9/25/2019,2.595
9/26/2019,2.56
9/27/2019,2.583
9/29/2019,2.602
9/30/2019,2.5645
10/1/2019,2.552
10/2/2019,2.5615
10/3/2019,2.5455
10/4/2019,2.5555
10/6/2019,2.56
10/7/2019,2.572
10/8/2019,2.5635
10/9/2019,2.562
10/10/2019,2.605
10/11/2019,2.6185
10/13/2019,2.6285
10/14/2019,2.6235
10/15/2019,2.604
10/16/2019,2.5795
10/17/2019,2.587
10/18/2019,2.625
10/20/2019,2.638
10/21/2019,2.635
10/22/2019,2.622
10/23/2019,2.6625
10/24/2019,2.659
10/25/2019,2.6665
10/27/2019,2.684
10/28/2019,2.6725
10/29/2019,2.6825
10/30/2019,2.6805
10/31/2019,2.633
11/1/2019,2.651
11/3/2019,2.665
11/4/2019,2.667
11/5/2019,2.695
11/6/2019,2.661
11/7/2019,2.724
11/8/2019,2.678
11/10/2019,2.687
11/11/2019,2.66
11/12/2019,2.642
11/13/2019,2.6365
11/14/2019,2.6185
11/15/2019,2.635
11/17/2019,2.6375
11/18/2019,2.6175
11/19/2019,2.6535
11/20/2019,2.6465
11/21/2019,2.621
11/22/2019,2.6475
11/24/2019,2.6465
11/25/2019,2.6475
11/26/2019,2.6745
11/27/2019,2.6745
11/29/2019,null
12/1/2019,2.665
12/2/2019,2.6325
12/3/2019,2.608
12/4/2019,2.644
12/5/2019,2.6485
12/6/2019,2.711
12/8/2019,2.7415
12/9/2019,2.7465
12/10/2019,2.7555
12/11/2019,2.7825
12/12/2019,2.7895
12/13/2019,2.7805
12/15/2019,2.7855
12/16/2019,2.8205
12/17/2019,2.8195
12/18/2019,2.817
12/19/2019,2.8315
12/20/2019,2.811
12/22/2019,2.807
12/23/2019,2.817
12/24/2019,null
12/26/2019,2.8645
12/27/2019,2.8365
12/29/2019,2.8275
12/30/2019,2.8275
12/31/2019,2.794
1/2/2020,2.833
1/3/2020,2.7985
1/5/2020,2.7705
1/6/2020,2.8005
1/7/2020,2.804
1/8/2020,2.819
1/9/2020,2.8105
1/10/2020,2.8185
1/12/2020,2.813
1/13/2020,2.8615
1/14/2020,2.876
1/15/2020,2.87
1/16/2020,2.852
1/17/2020,2.8495
1/19/2020,2.8505
1/21/2020,2.7985
1/22/2020,2.767
1/23/2020,2.726
1/24/2020,2.6855
1/26/2020,2.636
1/27/2020,2.5965
1/28/2020,2.5795
1/29/2020,2.5535
1/30/2020,2.5235
1/31/2020,2.52
2/2/2020,2.517
2/3/2020,2.513
2/4/2020,2.5475
2/5/2020,2.579
2/6/2020,2.5985
2/7/2020,2.559
2/9/2020,2.544
2/10/2020,2.5575
2/11/2020,2.5885
2/12/2020,2.606
2/13/2020,2.6195
2/14/2020,2.6055
2/16/2020,2.609
2/18/2020,2.61
2/19/2020,2.6125
2/20/2020,2.595
2/21/2020,2.618
2/23/2020,2.575
2/24/2020,2.5925
2/25/2020,2.5965
2/26/2020,2.5765
2/27/2020,2.569
2/28/2020,2.5715
3/1/2020,2.5245
3/2/2020,2.546
3/3/2020,2.601
3/4/2020,2.5795
3/5/2020,2.593
3/6/2020,2.5825
3/8/2020,2.481
3/9/2020,2.573
3/10/2020,2.524
3/11/2020,2.534
3/12/2020,2.512
3/13/2020,2.4935
3/15/2020,2.4375
3/16/2020,2.464
3/17/2020,2.3925
3/18/2020,2.3135
3/19/2020,2.151
3/20/2020,2.1855
3/22/2020,2.0765
3/23/2020,2.1155
3/24/2020,2.1955
3/25/2020,2.2
3/26/2020,2.1855
3/27/2020,2.167
3/29/2020,2.1525
3/30/2020,2.172
3/31/2020,2.2125
4/1/2020,2.17
4/2/2020,2.216
4/3/2020,2.1775
